District_A,DIstrict_B
AVEIRO,AVEIRO
BEJA,BEJA
BRAGA,BRAGA
BRAGANCA,BRAGANCA
CASTELO BRANCO,CASTELO BRANCO
COIMBRA,COIMBRA
EVORA,EVORA
FARO,FARO
GUARDA,GUARDA
LEIRIA,LEIRIA
LISBOA,LISBOA
PORTALEGRE,PORTALEGRE
PORTO,PORTO
SANTAREM,SANTAREM
SETUBAL,SETUBAL
VIANA DO CASTELO,VIANA DO CASTELO
VILA REAL,VILA REAL
VISEU,VISEU
