Municipality,PercentageSmartMeter,ConsumptionPerContract
Seixal,91,124.89447
Sesimbra,99,121.66389
Setúbal,99,174.21708
Sines,98,404.52435
Arcos de Valdevez,95,127.84882
Caminha,98,89.03349
Melgaço,88,80.73699
Monção,96,141.01107
Paredes de Coura,78,121.36212
Ponte da Barca,82,82.87711
Ponte de Lima,99,148.46014
Valença,70,211.45233
Viana do Castelo,95,192.23511
Vila Nova de Cerveira,96,333.42146
Alijó,77,89.71525
Boticas,88,98.68328
Chaves,93,106.88053
Mesão Frio,98,99.07149
Mondim de Basto,96,80.68735
Montalegre,70,65.1685
Murça,99,87.99199
Peso da Régua,96,109.20986
Ribeira de Pena,98,99.23108
Sabrosa,93,94.38431
Santa Marta de Penaguião,94,65.38956
Valpaços,98,79.81915
Vila Pouca de Aguiar,86,123.9887
Vila Real,97,150.71357
Armamar,99,135.13593
Carregal do Sal,97,152.77489
Castro daire,85,85.71329
Cinfães,65,80.59786
Lamego,99,109.74465
Mangualde,98,156.37882
Moimenta da Beira,97,105.99594
Mortágua,96,236.47507
Nelas,94,173.17658
Oliveira de Frades,97,328.47253
Penalva do Castelo,98,91.25457
Penedono,88,66.63686
Resende,74,85.23276
Santa Comba Dão,97,129.42968
São João da Pesqueira,86,91.87881
São Pedro do Sul,96,133.19893
Sátão,89,98.41349
Sernancelhe,79,97.09659
Tabuaço,99,84.20222
Tarouca,99,95.38119
Tondela,75,217.19656
Vila Nova de Paiva,99,80.07487
Viseu,92,144.34785
Vouzela,95,128.39071
